Measure_Code,Measure_Description_and_Unit_EN,Measure_Description_and_Unit_FR
1392,amount to make 30ml,quantité requise pour préparer 30ml
505723,amount to make 110g muffin,quantité pour faire 1 muffin 110g
505724,0 g,0 g
505725,1 g,1 g
505726,1 g,1 g
505727,2 g,2 g
505728,3 g,3 g
505729,4 g,4 g
505730,5 g,5 g
505731,5 ml,5 ml
505732,7 g,7 g
505733,10 g,10 g
505734,10 ml,10 ml
505735,15 g,15 g
505736,15 ml,15 ml
505737,20 g,20 g
505738,21 g,21 g
505739,25 g,25 g
505740,30 g,30 g
505741,30 ml,30 ml
505742,35 g,35 g
505743,40 g,40 g
505744,45 g,45 g
505745,50 g,50 g
505746,54 g,54 g
505747,55 g,55 g
505748,60 g,60 g
505749,60 ml,60 ml
505750,65 g,65 g
505751,70 g,70 g
505752,75 g,75 g
505753,75 ml,75 ml
505754,80 g,80 g
505755,83 ml,83 ml
505756,85 g,85 g
505757,100 g,100 g
505758,110 g,110 g
505759,110 ml,110 ml
505760,120 g,120 g
505761,125 g,125 g
505762,125 ml,125 ml
505763,130 g,130 g
505764,140 g,140 g
505765,150 g,150 g
505766,167 ml,167 ml
505767,170 g,170 g
505768,175 g,175 g
505768,175 g,175 g
505769,188 ml,188 ml
505770,200 g,200 g
505771,215 g,215 g
505772,250 ml,250 ml
505773,300 g,300 g
505774,333 ml,333 ml
505775,375 ml,375 ml
