Food_Code,Measure_Type_Code,Measure_Code,Measure_Weight_Conversion,Measure_Weight_Conversion_Last_Updated_Date
2,24,505756,85,
4,24,505773,300,
5,24,505773,300,
6,24,505747,55,
7,24,505773,300,
8,24,505773,300,
9,24,505773,300,
10,24,505773,300,
13,24,505736,15.21555,
14,24,505736,15.21555,
16,24,505733,10,
17,24,505733,10,
18,24,505740,30,
19,24,505740,30,
20,24,505740,30,
21,24,505740,30,
22,24,505740,30,
23,24,505740,30,
24,24,505740,30,
25,24,505761,125,
26,24,505761,125,
27,24,505747,55,
28,24,505740,30,
29,24,505740,30,
30,24,505740,30,
31,24,505735,15,
32,24,505740,30,
33,24,505740,30,
34,24,505740,30,
35,24,505740,30,
37,24,505740,30,
38,24,505740,30,
39,24,505735,15,
40,24,505735,15,
41,24,505740,30,
42,24,505740,30,
43,24,505761,125,
44,24,505761,125,
45,24,505735,15,
46,24,505740,30,
47,24,505740,30,
48,24,505735,15,
51,24,505740,30,
52,24,505740,30,
54,24,505735,15,
55,24,505762,134.1925,
56,24,505736,15.21555,
57,24,505727,2,
58,24,505727,2,
59,24,505735,15,
60,24,505735,15,
61,24,505772,257.82,
63,24,505772,257.82,
68,24,505736,19.3998,
69,24,505772,264.16,
70,24,505772,264.16,
71,24,505772,264.16,
72,24,505772,257.82,
74,24,505772,258.875,
75,24,505772,240.075,
76,24,505772,240.075,
88,24,505757,100,
89,24,505757,100,
90,24,505743,40,
91,24,505757,100,
92,24,505733,10,
93,24,505735,15,
96,24,505740,30,
97,24,505740,30,
98,24,505740,30,
101,24,505749,61.623,
102,24,505735,15,
103,24,505740,30,
104,24,505740,30,
105,24,505740,30,
106,24,505740,30,
107,24,505761,125,
108,24,505740,30,
109,24,505740,30,
110,24,505740,30,
111,24,505740,30,
112,24,505736,16.22985,
113,24,505772,257.82,
114,24,505772,258.875,
116,24,505772,264.16,
118,24,505733,10,
119,24,505740,30,
120,24,505761,125,
122,24,505727,2,
123,24,505772,257.82,
124,24,505772,258.875,
125,24,505757,100,
126,24,505757,100,
127,24,505757,100,
129,24,505757,100,
130,24,505757,100,
132,24,505757,100,
133,24,505758,110,
136,24,505736,15.21555,
137,24,505736,15.1521,
138,24,505736,15.0888,
139,24,505741,29.163,
140,24,505736,15.97635,
147,24,505747,55,
150,24,505736,15.3423,
151,24,505736,15.21555,
152,24,505741,29.163,
160,24,505740,30,
164,24,505769,138.25896,
212,24,505729,4,
214,24,505725,1,
219,24,505744,45,
232,24,505732,7,
283,24,505740,30,
285,24,505740,30,
286,24,505748,60,
287,24,505740,30,
291,24,505740,30,
293,24,505740,30,
394,24,505740,30,
414,24,505733,10,
415,24,505736,15.5325,
416,24,505734,9.2139,
417,24,505734,9.2139,
418,24,505734,9.1293,
419,24,505734,9.2139,
420,24,505734,9.2139,
422,24,505734,9.1293,
423,24,505734,9.1293,
424,24,505734,9.2139,
426,24,505741,27.8952,
428,24,505741,31.6992,
429,24,505734,9.2139,
430,24,505734,9.2139,
432,24,505734,9.2139,
433,24,505734,9.2139,
434,24,505734,9.2139,
435,24,505734,9.2139,
436,24,505734,9.2139,
437,24,505734,9.214,
438,24,505733,10,
439,24,505734,9.2139,
440,24,505734,9.2139,
441,24,505734,9.2139,
442,24,505734,9.2139,
443,24,505734,9.2139,
444,24,505734,9.2139,
445,24,505733,10,
446,24,505733,10,
447,24,505733,10,
448,24,505733,10,
449,24,505733,10,
450,24,505734,9.2139,
451,24,505734,9.2139,
452,24,505734,9.2139,
453,24,505734,9.2139,
454,24,505733,10,
456,24,505734,9.2139,
457,24,505734,9.2139,
458,24,505734,9.2139,
459,24,505734,9.2139,
460,24,505734,8.6644,
461,24,505734,9.2139,
462,24,505734,9.2139,
463,24,505733,10,
464,24,505733,10,
524,24,505741,31.065,
525,24,505741,32.967,
526,24,505741,31.6992,
527,24,505736,14.8986,
528,24,505741,32.967,
529,24,505741,30.4311,
530,24,505741,31.065,
531,24,505736,13.9476,
532,24,505741,29.7972,
533,24,505741,31.6992,
534,24,505741,31.065,
535,24,505733,10,
539,24,505733,10,
550,24,505733,10,
552,24,505733,10,
555,24,505761,125,
556,24,505757,100,
557,24,505757,100,
558,24,505757,100,
559,24,505757,100,
560,24,505761,125,
561,24,505757,100,
562,24,505757,100,
563,24,505757,100,
564,24,505757,100,
565,24,505761,125,
566,24,505757,100,
567,24,505757,100,
568,24,505757,100,
569,24,505757,100,
570,24,505757,100,
571,24,505761,125,
572,24,505757,100,
573,24,505757,100,
574,24,505761,125,
575,24,505757,100,
576,24,505761,125,
577,24,505757,100,
578,24,505761,125,
579,24,505757,100,
580,24,505761,125,
581,24,505757,100,
582,24,505757,100,
583,24,505757,100,
584,24,505757,100,
585,24,505761,125,
586,24,505757,100,
587,24,505757,100,
588,24,505757,100,
589,24,505757,100,
590,24,505761,125,
591,24,505757,100,
592,24,505757,100,
593,24,505757,100,
594,24,505761,125,
595,24,505757,100,
596,24,505757,100,
597,24,505757,100,
598,24,505757,100,
599,24,505757,100,
600,24,505757,100,
601,24,505757,100,
602,24,505757,100,
603,24,505757,100,
604,24,505757,100,
605,24,505757,100,
606,24,505757,100,
607,24,505761,125,
608,24,505757,100,
609,24,505757,100,
