Nutrient_Group_EN,Nutrient_Group_FR,Nutrient_Code,Nutrient_Symbol,Nutrient_Name_EN,Nutrient_Name_FR,Nutrient unit,Display order for web tool (do not publish this info),Nutrient (unit)_EN,Nutrient (unit)_FR
Proximates,Constituants proximaux,203,PROT,Protein,Protéines,g,3,Protein (g),Protéines (g)
Proximates,Constituants proximaux,204,FAT,Fat (total lipids),Gras (lipides totaux),g,4,Fat (total lipids) (g),Gras (lipides totaux) (g)
Proximates,Constituants proximaux,205,CARB,"Carbohydrate, total (by difference)",Glucides totaux (par différence),g,5,"Carbohydrate, total (by difference) (g)",Glucides totaux (par différence) (g)
Proximates,Constituants proximaux,207,ASH,"Ash, total","Cendres, totales",g,2,"Ash, total (g)","Cendres, totales (g)"
Proximates,Constituants proximaux,208,KCAL,Energy (kilocalories),Énergie (kilocalories),kCal,7,Energy (kCal),Énergie (kCal)
Carbohydrates,Glucides,210,SUCR,Sucrose,Sucrose,g,14,Sucrose (g),Sucrose (g)
Carbohydrates,Glucides,211,GLUC,Glucose,Glucose,g,11,Glucose (g),Glucose (g)
Carbohydrates,Glucides,212,FRUC,Fructose,Fructose,g,12,Fructose (g),Fructose (g)
Carbohydrates,Glucides,213,LACT,Lactose,Lactose,g,15,Lactose (g),Lactose (g)
Carbohydrates,Glucides,214,MALT,Maltose,Maltose,g,16,Maltose (g),Maltose (g)
Proximates,Constituants proximaux,221,ALCO,Alcohol,Alcool,g,6,Alcohol (g),Alcool (g)
Proximates,Constituants proximaux,255,H2O,Moisture,Humidité (eau),g,1,Moisture (g),Humidité (eau) (g)
Carbohydrates,Glucides,260,MANN,Mannitol,Mannitol,g,18,Mannitol (g),Mannitol (g)
Carbohydrates,Glucides,261,SORB,Sorbitol,Sorbitol,g,17,Sorbitol (g),Sorbitol (g)
Other components,Autres composants,262,CAFF,Caffeine,Caféine,mg,170,Caffeine (mg),Caféine (mg)
Other components,Autres composants,263,THBR,Theobromine,Théobromine,mg,171,Theobromine (mg),Théobromine (mg)
Proximates,Constituants proximaux,268,KJ,Energy (kilojoules),Énergie (kilojoules),kJ,8,Energy (kJ),Énergie (kJ)
Carbohydrates,Glucides,269,TSUG,"Sugars, total",Sucres totaux,g,10,"Sugars, total (g)",Sucres totaux (g)
Carbohydrates,Glucides,287,GAL,Galactose,Galactose,g,13,Galactose (g),Galactose (g)
Carbohydrates,Glucides,291,TDF,"Fibre, total dietary",Fibres alimentaires totales,g,9,"Fibre, total dietary (g)",Fibres alimentaires totales (g)
Minerals,Minéraux,301,CA,Calcium,Calcium,mg,19,Calcium (mg),Calcium (mg)
Minerals,Minéraux,303,FE,Iron,Fer,mg,20,Iron (mg),Fer (mg)
Minerals,Minéraux,304,MG,Magnesium,Magnésium,mg,21,Magnesium (mg),Magnésium (mg)
Minerals,Minéraux,305,P,Phosphorus,Phosphorus,mg,22,Phosphorus (mg),Phosphorus (mg)
Minerals,Minéraux,306,K,Potassium,Potassium,mg,23,Potassium (mg),Potassium (mg)
Minerals,Minéraux,307,NA,Sodium,Sodium,mg,24,Sodium (mg),Sodium (mg)
Minerals,Minéraux,309,ZN,Zinc,Zinc,mg,25,Zinc (mg),Zinc (mg)
Minerals,Minéraux,312,CU,Copper,Cuivre,mg,26,Copper (mg),Cuivre (mg)
Minerals,Minéraux,315,MN,Manganese,Manganèse,mg,27,Manganese (mg),Manganèse (mg)
Minerals,Minéraux,317,SE,Selenium,Sélénium,μg,28,Selenium (μg),Sélénium (μg)
Vitamins and other components,Vitamines et autres composants,319,RT-µg,Retinol,Rétinol,µg,47,Retinol (µg),Rétinol (µg)
Vitamins and other components,Vitamines et autres composants,320,RAE,Retinol activity equivalents,Équivalents d'activité du rétinol,µg,44,Retinol activity equivalents (µg),Équivalents d'activité du rétinol (µg)
Vitamins and other components,Vitamines et autres composants,321,BC-µg,Beta carotene,Bêta-carotène,µg,46,Beta carotene (µg),Bêta-carotène (µg)
Vitamins and other components,Vitamines et autres composants,322,AC-µg,Alpha carotene,Alpha-carotène,µg,45,Alpha carotene (µg),Alpha-carotène (µg)
Vitamins and other components,Vitamines et autres composants,323,ATMG,Alpha-tocopherol,Alpha-tocophérol,mg,51,Alpha-tocopherol (mg),Alpha-tocophérol (mg)
Vitamins and other components,Vitamines et autres composants,324,D3+D2-IU,Vitamin D (International Units),Vitamine D (unités internationales),IU,59,Vitamin D (IU),Vitamine D (unités internationales) (IU)
Vitamins and other components,Vitamines et autres composants,325,D2-µg,"Vitamin D2, ergocalciferol","Vitamine D2, ergocalciférol",µg,57,"Vitamin D2, ergocalciferol (µg)","Vitamine D2, ergocalciférol (µg)"
Vitamins and other components,Vitamines et autres composants,326,D3-µg,"Vitamin D3, cholecalciferol","Vitamine D3, cholecalciférol",µg,58,"Vitamin D3, cholecalciferol (µg)","Vitamine D3, cholecalciférol (µg)"
Vitamins and other components,Vitamines et autres composants,328,D3+D2-µg,Vitamin D (D2 + D3),Vitamine D (D2 + D3),µg,56,Vitamin D (D2 + D3) (µg),Vitamine D (D2 + D3) (µg)
Vitamins and other components,Vitamines et autres composants,329,25(OH)D3,25-hydroxycholecalciferol,25-hydroxycholécalciférol,µg,61,25-hydroxycholecalciferol (µg),25-hydroxycholécalciférol (µg)
Vitamins and other components,Vitamines et autres composants,330,25(OH)D2,25-hydroxyergocalciferol,25-hydroxyergocalciférol,µg,60,25-hydroxyergocalciferol (µg),25-hydroxyergocalciférol (µg)
Vitamins and other components,Vitamines et autres composants,334,CRYPX,Beta cryptoxanthin,Bêta-cryptoxanthine,µg,49,Beta cryptoxanthin (µg),Bêta-cryptoxanthine (µg)
Vitamins and other components,Vitamines et autres composants,337,LYCPN,Lycopene,Lycopène,µg,48,Lycopene (µg),Lycopène (µg)
Vitamins and other components,Vitamines et autres composants,338,LUT+ZEA,Lutein and zeaxanthin,Lutéine et zéaxanthine,µg,50,Lutein and zeaxanthin (µg),Lutéine et zéaxanthine (µg)
Vitamins and other components,Vitamines et autres composants,341,BTMG,Beta-tocopherol,Bêta-tocophérol,mg,53,Beta-tocopherol (mg),Bêta-tocophérol (mg)
Vitamins and other components,Vitamines et autres composants,342,GTMG,Gamma-tocopherol,Gamma-tocophérol,mg,54,Gamma-tocopherol (mg),Gamma-tocophérol (mg)
Vitamins and other components,Vitamines et autres composants,343,DTMG,Delta-tocopherol,Delta-tocophérol,mg,55,Delta-tocopherol (mg),Delta-tocophérol (mg)
Vitamins and other components,Vitamines et autres composants,401,VITC,Vitamin C,Vitamine C,mg,29,Vitamin C (mg),Vitamine C (mg)
Vitamins and other components,Vitamines et autres composants,404,THIA,Thiamine,Thiamine,mg,30,Thiamine (mg),Thiamine (mg)
Vitamins and other components,Vitamines et autres composants,405,RIBO,Riboflavin,Riboflavine,mg,31,Riboflavin (mg),Riboflavine (mg)
Vitamins and other components,Vitamines et autres composants,406,N-MG,Niacin (nicotinic acid) preformed,Niacine (acide nicotinique) préformée,mg,32,Niacin (nicotinic acid) preformed (mg),Niacine (acide nicotinique) préformée (mg)
Vitamins and other components,Vitamines et autres composants,409,N-NE,Total niacin equivalent,équivalent en niacine totale,NE,33,Total niacin equivalent (NE),Équivalent en niacine totale (NE)
Vitamins and other components,Vitamines et autres composants,410,PANT,Pantothenic acid,Acide pantothénique,mg,34,Pantothenic acid (mg),Acide pantothénique (mg)
Vitamins and other components,Vitamines et autres composants,415,B6,Vitamin B-6,Vitamine B-6,mg,35,Vitamin B-6 (mg),Vitamine B-6 (mg)
Vitamins and other components,Vitamines et autres composants,416,BIOT,Biotin,Biotine,µg,62,Biotin (µg),Biotine (µg)
Vitamins and other components,Vitamines et autres composants,417,FOLA,Total folacin,Folacine totale,µg,36,Total folacin (µg),Folacine totale (µg)
Vitamins and other components,Vitamines et autres composants,418,B12,Vitamin B-12,Vitamine B-12,µg,42,Vitamin B-12 (µg),Vitamine B-12 (µg)
Vitamins and other components,Vitamines et autres composants,421,CHOLN,"Choline, total","Choline, totale",mg,40,"Choline, total (mg)","Choline, totale (mg)"
Vitamins and other components,Vitamines et autres composants,428,MK4,Vitamin K (menaquinone-4),Vitamine K (ménaquinone-4),µg,65,Vitamin K (menaquinone-4) (µg),Vitamine K (ménaquinone-4) (µg)
Vitamins and other components,Vitamines et autres composants,429,VITK1D,Vitamin K (dihydrophylloquinone),Vitamine K (dihydrophylloquinone),µg,64,Vitamin K (dihydrophylloquinone) (µg),Vitamine K (dihydrophylloquinone) (µg)
Vitamins and other components,Vitamines et autres composants,430,VITK,Vitamin K (phylloquinone),Vitamine K (phylloquinone),µg,63,Vitamin K (phylloquinone) (µg),Vitamine K (phylloquinone) (µg)
Vitamins and other components,Vitamines et autres composants,431,FOAC,Folic acid,Acide folique,µg,37,Folic acid (µg),Acide folique (µg)
Vitamins and other components,Vitamines et autres composants,432,FOLN,Naturally occurring folate,Folates naturellement présents,µg,38,Naturally occurring folate (µg),Folates naturellement présents (µg)
Vitamins and other components,Vitamines et autres composants,435,DFE,Dietary folate equivalents,Équivalents de folate alimentaire (ÉFA),µg,39,Dietary folate equivalents (µg),Équivalents de folate alimentaire (ÉFA) (µg)
Vitamins and other components,Vitamines et autres composants,454,BETN,Betaine,Bétaine,mg,41,Betaine (mg),Bétaine (mg)
Amino Acids,Acides aminés,501,TRP,Tryptophan,Tryptophane,g,66,Tryptophan (g),Tryptophane (g)
Amino Acids,Acides aminés,502,THR,Threonine,Thréonine,g,67,Threonine (g),Thréonine (g)
Amino Acids,Acides aminés,503,ISO,Isoleucine,Isoleucine,g,68,Isoleucine (g),Isoleucine (g)
Amino Acids,Acides aminés,504,LEU,Leucine,Leucine,g,69,Leucine (g),Leucine (g)
Amino Acids,Acides aminés,505,LYS,Lysine,Lysine,g,70,Lysine (g),Lysine (g)
Amino Acids,Acides aminés,506,MET,Methionine,Méthionine,g,71,Methionine (g),Méthionine (g)
Amino Acids,Acides aminés,507,CYS,Cystine,Cystine,g,72,Cystine (g),Cystine (g)
Amino Acids,Acides aminés,508,PHE,Phenylalanine,Phénylalanine,g,73,Phenylalanine (g),Phénylalanine (g)
Amino Acids,Acides aminés,509,TYR,Tyrosine,Tyrosine,g,74,Tyrosine (g),Tyrosine (g)
Amino Acids,Acides aminés,510,VAL,Valine,Valine,g,75,Valine (g),Valine (g)
Amino Acids,Acides aminés,511,ARG,Arginine,Arginine,g,76,Arginine (g),Arginine (g)
Amino Acids,Acides aminés,512,HIS,Histidine,Histidine,g,77,Histidine (g),Histidine (g)
Amino Acids,Acides aminés,513,ALA,Alanine,Alanine,g,78,Alanine (g),Alanine (g)
Amino Acids,Acides aminés,514,ASP,Aspartic acid,Acide aspartique,g,79,Aspartic acid (g),Acide aspartique (g)
Amino Acids,Acides aminés,515,GLU,Glutamic acid,Acide glutamique,g,80,Glutamic acid (g),Acide glutamique (g)
Amino Acids,Acides aminés,516,GLY,Glycine,Glycine,g,81,Glycine (g),Glycine (g)
Amino Acids,Acides aminés,517,PRO,Proline,Proline,g,82,Proline (g),Proline (g)
Amino Acids,Acides aminés,518,SER,Serine,Serine,g,83,Serine (g),Serine (g)
Amino Acids,Acides aminés,521,HYP,Hydroxyproline,Hydroxyproline,g,84,Hydroxyproline (g),Hydroxyproline (g)
Other components,Autres composants,550,ASPA,Aspartame,Aspartame,mg,172,Aspartame (mg),Aspartame (mg)
Vitamins and other components,Vitamines et autres composants,573,ATMG-A,"Alpha-tocopherol, added","Alpha-tocophérol, ajouté",mg,52,"Alpha-tocopherol, added (mg)","Alpha-tocophérol, ajouté (mg)"
Vitamins and other components,Vitamines et autres composants,578,B12-A,"Vitamin B-12, added","Vitamine B-12, ajoutée",µg,43,"Vitamin B-12, added (µg)","Vitamine B-12, ajoutée (µg)"
Lipids,Acides gras (lipides),601,CHOL,Cholesterol,Cholestérol,mg,85,Cholesterol (mg),Cholestérol (mg)
Lipids,Acides gras (lipides),605,TRFA,"Fatty acids, trans, total",acides gras trans totaux,g,148,"Trans Fatty Acids, total (g)",Acides gras trans totaux (g)
Lipids,Acides gras (lipides),606,TSAT,"Fatty acids, saturated, total",acides gras saturés totaux,g,86,"Saturated Fatty Acids, total (g)",Acides gras saturés totaux (g)
Lipids,Acides gras (lipides),607,4:00,"Fatty acids, saturated, 4:0, butanoic","acides gras saturés 4:0, butanoïque",g,87,4:0 (g),4:0 (g)
Lipids,Acides gras (lipides),608,6:00,"Fatty acids, saturated, 6:0, hexanoic","acides gras saturés 6:0, hexanoïque",g,88,6:0 (g),6:0 (g)
Lipids,Acides gras (lipides),609,8:00,"Fatty acids, saturated, 8:0, octanoic","acides gras saturés 8:0, octanoïque",g,89,8:0 (g),8:0 (g)
Lipids,Acides gras (lipides),610,10:00,"Fatty acids, saturated, 10:0, decanoic","acides gras saturés 10:0, décanoïque",g,90,10:0 (g),10:0 (g)
Lipids,Acides gras (lipides),611,12:00,"Fatty acids, saturated, 12:0, dodecanoic","acides gras saturés 12:0, dodécanoïque",g,91,12:0 (g),12:0 (g)
Lipids,Acides gras (lipides),612,14:00,"Fatty acids, saturated, 14:0, tetradecanoic","acides gras saturés 14:0, tétradécanoïque",g,93,14:0 (g),14:0 (g)
Lipids,Acides gras (lipides),613,16:00,"Fatty acids, saturated, 16:0, hexadecanoic","acides gras saturés 16:0, hexadécanoïque",g,95,16:0 (g),16:0 (g)
Lipids,Acides gras (lipides),614,18:00,"Fatty acids, saturated, 18:0, octadecanoic","acides gras saturés 18:0, octadécanoïque",g,97,18:0 (g),18:0 (g)
Lipids,Acides gras (lipides),615,20:00,"Fatty acids, saturated, 20:0, eicosanoic","acides gras saturés 20:0, eïcosanoïque",g,98,20:0 (g),20:0 (g)
Lipids,Acides gras (lipides),617,18:1undiff,"Fatty acids, monounsaturated, 18:1undifferentiated, octadecenoic","acides gras monoinsaturés, 18:1non différencié, octadécénoïque",g,108,18:1undiff (g),18:1non différencié (g)
Lipids,Acides gras (lipides),618,18:2undiff,"Fatty acids, polyunsaturated, 18:2undifferentiated, linoleic, octadecadienoic","acides gras polyinsaturés, 18:2non différencié, linoléique, octadécadiénoïque",g,124,18:2undiff (g),18:2non différencié (g)
Lipids,Acides gras (lipides),619,18:3undiff,"Fatty acids, polyunsaturated, 18:3undifferentiated, linolenic, octadecatrienoic","acides gras polyinsaturés, 18:3non différencié, linolénique, octadécatriénoïque",g,130,18:3undiff (g),18:3non différencié (g)
Lipids,Acides gras (lipides),620,20:4undiff,"Fatty acids, polyunsaturated, 20:4, eicosatetraenoic","acides gras polyinsaturés, 20:4, arachidonique eïcosatétraénoïque",g,138,20:4 (g),20:4 (g)
